Date,Real,Predicted
2022-05-05,156.77000427246094,167.56384
2022-05-06,157.27999877929688,167.89734
2022-05-09,152.05999755859375,165.55882
2022-05-10,154.50999450683594,158.6546
2022-05-11,146.5,158.20145
2022-05-12,142.55999755859375,152.1372
2022-05-13,147.11000061035156,151.85484
2022-05-16,145.5399932861328,144.78694
2022-05-17,149.24000549316406,146.31961
2022-05-18,140.82000732421875,149.50827
2022-05-19,137.35000610351562,150.18188
2022-05-20,137.58999633789062,147.73238
2022-05-23,143.11000061035156,142.79288
2022-05-24,140.36000061035156,145.40094
2022-05-25,140.52000427246094,145.35585
2022-05-26,143.77999877929688,146.31387
2022-05-27,149.63999938964844,146.51045
2022-05-31,148.83999633789062,151.93011
2022-06-01,148.7100067138672,154.50673
2022-06-02,151.2100067138672,155.99017
2022-06-03,145.3800048828125,158.02515
2022-06-06,146.13999938964844,156.22424
2022-06-07,148.7100067138672,151.9056
2022-06-08,147.9600067138672,148.14333
2022-06-09,142.63999938964844,148.78378
2022-06-10,137.1300048828125,150.11815
2022-06-13,131.8800048828125,148.02216
2022-06-14,132.75999450683594,142.53763
2022-06-15,135.42999267578122,139.71446
2022-06-16,130.05999755859378,137.89784
2022-06-17,131.55999755859378,138.28992
2022-06-21,135.8699951171875,137.27806
2022-06-22,135.35000610351562,137.02672
2022-06-23,138.27000427246094,139.70158
2022-06-24,141.66000366210938,142.20726
2022-06-27,141.66000366210938,143.47243
2022-06-28,137.44000244140622,146.95818
2022-06-29,139.22999572753906,141.96933
2022-06-30,136.72000122070312,139.89699
2022-07-01,138.92999267578122,136.72916
2022-07-05,141.55999755859375,142.94202
2022-07-06,142.9199981689453,143.47829
2022-07-07,146.35000610351562,144.79842
2022-07-08,147.0399932861328,147.06335
2022-07-11,144.8699951171875,150.23293
2022-07-12,145.86000061035156,152.08633
2022-07-13,145.49000549316406,153.42766
2022-07-14,148.47000122070312,151.8632
2022-07-15,150.1699981689453,153.01001
2022-07-18,147.07000732421875,154.61307
2022-07-19,151.0,153.4924
2022-07-20,153.0399932861328,152.17975
2022-07-21,155.35000610351562,149.77425
2022-07-22,154.08999633789062,155.5644
2022-07-25,152.9499969482422,156.1774
2022-07-26,151.60000610351562,156.87575
2022-07-27,156.7899932861328,154.33777
2022-07-28,157.35000610351562,156.05501
2022-07-29,162.50999450683594,158.15248
2022-08-01,161.50999450683594,163.62437
2022-08-02,160.00999450683594,166.39542
2022-08-03,166.1300048828125,168.55524
2022-08-04,165.80999755859375,168.19818
2022-08-05,165.35000610351562,168.91063
2022-08-08,164.8699951171875,170.82121
2022-08-09,164.9199981689453,168.66464
2022-08-10,169.24000549316406,167.70241
2022-08-11,168.49000549316406,170.05963
2022-08-12,172.10000610351562,172.23648
2022-08-15,173.19000244140625,175.3008
2022-08-16,173.02999877929688,175.03783
2022-08-17,174.5500030517578,175.28955
2022-08-18,174.14999389648438,175.41377
2022-08-19,171.52000427246094,176.3086
2022-08-22,167.57000732421875,176.34865
2022-08-23,167.22999572753906,175.41446
2022-08-24,167.52999877929688,172.9607
2022-08-25,170.02999877929688,172.62816
2022-08-26,163.6199951171875,172.64946
2022-08-29,161.3800048828125,172.48114
2022-08-30,158.91000366210938,170.53522
2022-08-31,157.22000122070312,167.89716
2022-09-01,157.9600067138672,165.1594
2022-09-02,155.80999755859375,162.89287
2022-09-06,154.52999877929688,161.49443
2022-09-07,155.9600067138672,162.45924
2022-09-08,154.4600067138672,160.82071
2022-09-09,157.3699951171875,159.44807
2022-09-12,163.42999267578125,158.85535
2022-09-13,153.83999633789062,163.00479
2022-09-14,155.30999755859375,163.1932
2022-09-15,152.3699951171875,165.74611
2022-09-16,150.6999969482422,163.03491
2022-09-19,154.47999572753906,163.55777
2022-09-20,156.89999389648438,158.61263
2022-09-21,153.72000122070312,159.96729
2022-09-22,152.74000549316406,160.02684
2022-09-23,150.42999267578125,159.02267
2022-09-26,150.77000427246094,158.33792
2022-09-27,151.75999450683594,159.9567
2022-09-28,149.83999633789062,160.76881
2022-09-29,142.47999572753906,160.1224
2022-09-30,138.19999694824222,155.13339
2022-10-03,142.4499969482422,148.78078
2022-10-04,146.10000610351562,144.21321
2022-10-05,146.39999389648438,145.93478
2022-10-06,145.42999267578125,152.27861
2022-10-07,140.08999633789062,157.8504
2022-10-10,140.41999816894528,156.79124
2022-10-11,138.97999572753906,151.89024
2022-10-12,138.33999633789062,148.28282
2022-10-13,142.99000549316406,142.50526
2022-10-14,138.3800048828125,143.32574
2022-10-17,142.41000366210938,143.32817
2022-10-18,143.75,147.98367
2022-10-19,143.86000061035156,149.53198
2022-10-20,143.38999938964844,155.20317
2022-10-21,147.27000427246094,155.15569
2022-10-24,149.4499969482422,159.01317
2022-10-25,152.33999633789062,156.8782
2022-10-26,149.35000610351562,156.91364
